更新时间,#genre#
CCTV1,http://221.233.101.41:777/rtp/239.254.96.96:8550$IPV4『线路41』
CCTV1,http://221.234.220.233:4022/rtp/239.254.96.96:8550$IPV4『线路42』
CCTV1,http://27.17.237.199:8088/rtp/239.254.96.96:8550$IPV4『线路43』
CCTV1,http://27.19.48.39:4022/rtp/239.254.96.96:8550$IPV4『线路44』
CCTV1,http://121.63.2.11:18000/rtp/239.254.96.96:8550$IPV4『线路45』
CCTV1,http://111.178.101.205:9999/rtp/239.254.96.96:8550$IPV4『线路46』
CCTV1,http://171.83.136.213:8989/rtp/239.254.96.96:8550$IPV4『线路47』
CCTV1,http://27.19.146.209:2701/rtp/239.254.96.96:8550$IPV4『线路48』
CCTV1,http://222.142.118.102:4000/rtp/225.1.4.73:1102$IPV4『线路49』
CCTV1,http://115.60.241.249:2000/rtp/225.1.4.73:1102$IPV4『线路50』
CCTV1,http://42.237.178.219:4000/rtp/225.1.4.73:1102$IPV4『线路51』
CCTV1,http://222.138.212.223:9999/rtp/225.1.4.73:1102$IPV4『线路52』
CCTV1,http://123.118.0.177:4022/rtp/239.3.1.129:8008$IPV4『线路53』
CCTV1,http://114.246.181.171:4022/rtp/239.3.1.129:8008$IPV4『线路54』
CCTV1,http://114.254.38.103:8887/rtp/239.3.1.129:8008$IPV4『线路55』
CCTV1,http://222.131.15.137:4000/rtp/239.3.1.129:8008$IPV4『线路56』
CCTV1,http://113.220.232.38:9999/tsfile/live/0017_1.m3u8$IPV4『线路57』
CCTV1,http://111.225.93.108:33333/hls/1/index.m3u8$IPV4『线路58』
CCTV1,http://111.225.93.108:33333/hls/2/index.m3u8$IPV4『线路59』
CCTV1,http://116.233.34.25:7777/tsfile/live/0001_1.m3u8$IPV4『线路60』
CCTV1,http://171.117.46.35:9999/tsfile/live/0001_1.m3u8$IPV4『线路61』
CCTV1,http://60.189.61.9:9999/udp/233.50.200.130:5140$IPV4『线路62』
CCTV1,http://60.189.61.9:9999/udp/233.50.200.130:5140$IPV4『线路63』
CCTV1,http://60.189.61.9:9999/udp/233.50.201.118:5140$IPV4『线路64』
CCTV1,http://60.189.61.9:9999/udp/233.50.201.118:5140$IPV4『线路65』
CCTV1,http://60.189.61.9:9999/udp/233.50.201.222:5140$IPV4『线路66』
CCTV1,http://60.189.61.9:9999/udp/233.50.201.226:5140$IPV4『线路67』
CCTV1,http://120.0.52.126:4022/rtp/239.253.92.83:8012$IPV4『线路68』
CCTV1,http://27.10.134.196:8003/udp/225.0.4.74:7980$IPV4『线路69』
CCTV1,http://27.10.134.196:8001/udp/225.0.4.74:7980$IPV4『线路70』
CCTV1,http://60.220.167.216:8085/rtp/226.0.2.153:9136$IPV4『线路71』
CCTV1,http://60.220.167.216:8085/rtp/226.0.2.16:8040$IPV4『线路72』
CCTV1,http://60.220.167.216:8084/rtp/226.0.2.153:9136$IPV4『线路73』
CCTV1,http://60.220.167.216:8084/rtp/226.0.2.16:8040$IPV4『线路74』
CCTV1,http://60.220.167.216:8082/rtp/226.0.2.153:9136$IPV4『线路75』
CCTV1,http://60.220.167.216:8082/rtp/226.0.2.16:8040$IPV4『线路76』
CCTV1,http://60.223.72.133:8002/rtp/226.0.2.153:9136$IPV4『线路77』
CCTV1,http://60.223.72.133:8002/rtp/226.0.2.16:8040$IPV4『线路78』
CCTV1,http://60.223.72.133:8004/rtp/226.0.2.16:8040$IPV4『线路79』
CCTV1,http://119.98.71.95:8888/rtp/239.254.96.96:8550$IPV4『线路80』
CCTV2,http://[2409:8087:74d9:21::6]:80/000000001000PLTV/88888888/224/3221226676/index.m3u8$IPV6『线路1』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/index.m3u8$IPV6『线路2』
CCTV2,http://[2409:8087:5e00:24::11]:6060/200000001898/460000089800010211/$IPV6『线路3』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000023315/1.m3u8$IPV6『线路4』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/000000001000/1000000001000012442/1.m3u8$IPV6『线路5』
CCTV2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$IPV6『线路6』
CCTV2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8$IPV6『线路7』
CCTV2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$IPV6『线路8』
CCTV2,http://[2409:8087:2801:22:100::62]/wh7f454c46tw3120981737_1855966134/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236393/index.m3u8?icpid=88888888&RTS=1717809650&from=5&ocs=2_2409:8087:2801:22:100::7e_80&hms_devid=314&online=1717809650&vqe=3$IPV6『线路9』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8$IPV6『线路10』
CCTV2,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$IPV6『线路11』
CCTV2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8$IPV6『线路12』
CCTV2,http://[2409:8087:2801:22:100::62]/wh7f454c46tw3120981737_1855966134/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236393/index.m3u8?icpid=88888888&RTS=1717809650&from=5&ocs=2_2409:8087:2801:22:100::7e_80&hms_devid=314&online=1717809650&vqe=3$IPV6『线路13』
CCTV2,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000036BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSpr1AVNI633ampcuzdN%2BfGVSARKsxkWGZw7vFUuOj2QZHeRzosIxVbl7i2QHFATHA3k5wDWG1qHkZQAleNv%2FbI$IPV6『线路14』
CCTV2,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000372/index.m3u8?IAS$IPV6『线路15』
CCTV2,http://[2409:8087:5e01:34::38]:6610/ZTE_CMS/00000001000000060000000000000372/index.m3u8?$IPV6『线路16』
CCTV2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225588/index.m3u8?$IPV6『线路17』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/1.m3u8?$IPV6『线路18』
CCTV2,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/yinhe/88888888/8/3221225588/index.m3u8$IPV6『线路19』
CCTV2,http://[2409:8087:5e00:24::1f]:6060/ZTE_CMS/00000001000000060000000000000372/index.m3u8$IPV6『线路20』
CCTV2,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010211/index.m3u8$IPV6『线路21』
CCTV2,http://[2409:8087:5e01:34::22]:6610/ZTE_CMS/00000001000000060000000000000372/index.m3u8?key=tvbox6_com$IPV6『线路22』
CCTV2,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8$IPV6『线路23』
CCTV2,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN5000036BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUSpr1AVNI633ampcuzdN%2BfGVSARKsxkWGZw7vFUuOj2QZHeRzosIxVbl7i2QHFATHA3k5wDWG1qHkZQAleNv%2FbI$IPV6『线路24』
